Distance_z(mm),Gray_value
70.0,0.046
70.7,5.287
71.3,1.517
72.0,2.804
72.6,5.506
73.3,0.066
73.9,6.511
74.6,3.399
75.2,1.464
75.9,8.717
76.5,1.917
77.2,3.52
77.8,10.61
78.5,1.639
79.1,4.886
79.8,13.803
80.5,2.955
81.1,4.626
81.8,19.25
82.4,8.456
83.1,1.939
83.7,25.724
84.4,25.798
85.0,0.789
85.7,25.774
86.3,71.794
87.0,37.832
87.6,5.498
88.3,203.231
88.9,641.876
89.6,1000.0
90.3,975.75
90.9,619.522
91.6,232.327
92.2,31.152
92.9,2.549
93.5,24.345
94.2,24.387
94.8,8.394
95.5,0.311
96.1,2.76
96.8,5.441
97.4,3.826
98.1,1.116
98.7,0.35
99.4,0.937
100.1,1.204
100.7,0.86
101.4,0.57
102.0,0.591
102.7,0.582
103.3,0.34
104.0,0.164
104.6,0.425
105.3,0.985
105.9,1.254
106.6,0.864
107.2,0.191
107.9,0.075
108.5,0.925
109.2,2.147
109.8,2.601
110.5,1.763
111.2,0.422
111.8,0.092
112.5,1.561
113.1,3.946
113.8,5.283
114.4,4.29
115.1,1.732
115.7,0.069
116.4,1.457
117.0,5.725
117.7,10.11
118.3,11.216
119.0,7.856
119.6,2.531
120.3,0.156
121.0,4.609
121.6,15.417
122.3,27.07
122.9,31.962
123.6,25.614
124.2,11.21
124.9,0.538
125.5,10.194
126.2,54.418
126.8,137.784
127.5,251.219
128.1,373.361
128.8,476.908
129.4,537.436
130.1,541.229
130.8,489.219
131.4,395.835
132.1,283.62
132.7,175.894
133.4,90.216
134.0,34.708
134.7,7.977
135.3,1.997
136.0,6.396
136.6,12.381
137.3,15.055
137.9,13.674
138.6,10.27
139.2,7.559
139.9,7.156
140.6,8.789
141.2,10.677
141.9,10.769
142.5,8.198
143.2,4.298
143.8,2.751
144.5,8.759
145.1,27.528
145.8,62.538
146.4,114.153
147.1,179.013
147.7,250.359
148.4,319.242
149.0,376.258
149.7,413.404
150.4,425.595
151.0,411.535
151.7,373.794
152.3,318.133
153.0,252.293
153.6,184.546
154.3,122.309
154.9,71.089
155.6,33.907
156.2,11.236
156.9,1.391
157.5,1.216
158.2,6.903
158.8,14.759
159.5,21.807
160.2,26.124
160.8,26.93
161.5,24.447
162.1,19.607
162.8,13.691
163.4,7.985
164.1,3.512
164.7,0.868
165.4,0.184
166.0,1.181
166.7,3.297
167.3,5.848
168.0,8.176
168.6,9.776
169.3,10.365
169.9,9.898
170.6,8.543
171.3,6.614
171.9,4.492
172.6,2.548
173.2,1.077
173.9,0.256
174.5,0.129
175.2,0.617
175.8,1.548
176.5,2.698
177.1,3.831
177.8,4.743
178.4,5.29
179.1,5.401
179.7,5.083
180.4,4.407
181.1,3.496
181.7,2.495
182.4,1.547
183.0,0.776
183.7,0.268
184.3,0.064
185.0,0.16
185.6,0.508
186.3,1.033
186.9,1.644
187.6,2.243
188.2,2.747
188.9,3.091
189.5,3.236
190.2,3.172
190.9,2.917
191.5,2.511
192.2,2.009
192.8,1.473
193.5,0.964
194.1,0.536
194.8,0.229
195.4,0.065
196.1,0.051
196.7,0.175
197.4,0.41
198.0,0.722
198.7,1.069
199.3,1.41
200.0,1.707
